#{"t_start": 1776276655.5548859, "env_id": "None"}
r,l,t
57.932989,500,611.415786
60.015042,500,614.043181
64.031685,500,616.051213
43.008506,500,618.691611
42.006888,500,620.740521
39.434491,500,622.77104
53.249933,500,625.348653
42.317047,500,627.372414
39.615719,500,630.154967
57.023799,500,632.124226
65.442553,500,634.771046
37.562763,500,636.803581
51.675466,500,639.526063
52.984494,500,641.528253
63.254051,500,644.106992
61.97422,500,646.173995
67.142157,500,648.770977
50.234587,500,650.808766
58.266016,500,653.462101
54.949641,500,655.511766
44.69578,500,658.167531
55.245225,500,660.246684
67.161485,500,662.888152
57.720613,500,664.887299
52.976725,500,667.430977
50.578178,500,669.499391
46.702599,500,672.093865
74.640736,500,674.159186
63.238405,500,676.736764
57.040236,500,678.77465
63.709508,500,681.392654
69.723389,500,683.379725
37.185899,500,685.922119
58.241084,500,687.941204
49.082007,500,690.609949
52.130939,500,692.570303
62.68844,500,695.155223
56.495438,500,697.155123
53.557586,500,699.784757
48.2042,500,701.807818
26.985993,500,704.440234
51.738022,500,706.434713
69.497083,500,709.01722
56.753042,500,711.013755
56.244736,500,713.646071
58.997325,500,715.694052
50.72983,500,718.33129
46.731676,500,720.385691
23.073108,500,722.427837
53.315399,500,725.037945
55.742973,500,727.043849
41.479313,500,729.7222
52.824277,500,731.756513
32.269465,500,734.332098
66.265214,500,736.426951
56.43103,500,739.017371
48.972513,500,741.012232
55.435127,500,743.621004
51.445024,500,745.670974
56.214962,500,748.264867
45.863976,500,750.31958
64.427231,500,752.908014
55.228284,500,754.889624
50.282525,500,757.473719
34.084446,500,759.52143
61.222934,500,762.093523
52.494597,500,764.145674
36.828899,500,766.757879
49.940775,500,768.710944
49.119325,500,771.33115
57.845799,500,773.370249
52.020239,500,776.008734
62.200684,500,777.994391
57.763462,500,780.594078
71.307202,500,782.560256
53.695806,500,785.160733
43.435326,500,787.186705
43.006071,500,789.838637
62.643896,500,791.862733
30.807587,500,794.489963
64.800231,500,796.465457
47.872117,500,799.048166
72.826437,500,801.096955
53.522812,500,803.728961
58.688861,500,805.674933
31.493025,500,808.225138
62.952419,500,810.210807
51.265676,500,812.76227
62.234251,500,814.846161
62.5644,500,817.448929
49.343278,500,819.361802
54.627787,500,821.350487
43.117262,500,823.95943
54.825441,500,825.984668
58.774748,500,828.598218
24.004226,500,830.615915
47.515153,500,833.384165
50.37518,500,835.425446
48.671773,500,838.118225
54.32375,500,840.134904
62.235085,500,842.717115
51.226497,500,844.691717
43.703285,500,847.285172
69.497138,500,849.304259
57.453968,500,851.852115
56.453662,500,853.905281
60.779448,500,856.476542
59.479846,500,858.420477
66.442052,500,861.081888
56.630505,500,863.069774
67.792546,500,865.65728
53.789784,500,867.661515
54.064046,500,870.221045
50.410429,500,872.296861
62.773251,500,874.949363
48.553656,500,877.036954
60.529569,500,879.658528
61.69461,500,881.734429
57.736922,500,884.319008
61.060902,500,886.345226
69.705784,500,888.889516
42.613995,500,891.071424
53.130246,500,893.642891
60.013224,500,895.636404
35.100087,500,898.301
55.414417,500,900.282068
46.351438,500,902.891293
64.975697,500,904.860568
28.911965,500,907.413875
61.75067,500,909.460406
61.096405,500,912.079002
57.301705,500,914.092044
56.143773,500,916.673608
77.670296,500,918.687274
52.884697,500,920.742592
56.217892,500,923.370707
49.568922,500,925.429876
64.766951,500,927.988908
44.111486,500,929.981299
57.688687,500,932.59758
22.845134,500,934.631089
58.400372,500,937.379954
58.723004,500,939.380537
31.869997,500,942.073515
53.766275,500,944.003322
45.336803,500,946.549047
57.039134,500,948.558385
50.49387,500,951.198128
51.0484,500,953.247436
54.736199,500,955.801442
61.601461,500,957.813397
51.183135,500,960.423698
46.275519,500,962.442103
63.742896,500,965.096317
68.290781,500,967.066565
60.075628,500,969.637811
53.521832,500,971.652701
50.020678,500,974.280031
58.898891,500,976.383923
69.970808,500,979.047714
70.754334,500,981.026699
58.543986,500,983.607285
53.320248,500,985.59859
50.745391,500,988.226676
59.632357,500,990.26339
53.767102,500,992.85907
65.504433,500,994.881783
53.721149,500,997.507237
75.79037,500,999.537875
48.482031,500,1002.348553
58.728438,500,1004.365736
71.025234,500,1007.010241
57.215465,500,1009.074259
57.523095,500,1011.68772
60.610409,500,1013.714298
58.601021,500,1015.772476
57.001887,500,1018.348192
59.247735,500,1020.398381
65.279875,500,1023.100118
71.763811,500,1025.083657
63.107434,500,1027.690801
66.69933,500,1029.70787
50.298877,500,1032.301646
64.269347,500,1034.320888
43.565573,500,1036.97771
68.056256,500,1038.98462
68.028095,500,1041.655848
59.162897,500,1043.670198
55.798315,500,1046.361709
65.588979,500,1048.369265
66.796521,500,1050.951274
88.812015,500,1053.048017
46.837863,500,1055.610082
16.858996,500,1057.647943
27.859374,500,1060.283874
63.789231,500,1062.327506
73.245552,500,1064.931711
61.311368,500,1066.975407
40.071377,500,1069.828757
56.404441,500,1071.81935
57.969239,500,1074.427453
79.819628,500,1076.42334
62.816759,500,1079.124935
57.547977,500,1081.103042
66.655971,500,1083.732909
50.028415,500,1085.653473
50.620861,500,1088.194779
72.802449,500,1090.221837
57.303754,500,1092.862249
52.780688,500,1094.861385
31.614843,500,1097.472302
60.631844,500,1099.455765
33.433387,500,1102.028178
64.264268,500,1104.02804
55.934237,500,1106.697952
68.808369,500,1108.745244
30.688828,500,1111.317073
52.124635,500,1113.398157
64.569774,500,1115.344315
85.782322,500,1117.975449
61.374603,500,1119.969928
66.270124,500,1122.580244
67.268399,500,1124.641471
71.005264,500,1127.250299
58.78212,500,1129.258912
54.324367,500,1131.868682
50.566052,500,1133.871306
74.998771,500,1136.453227
60.720322,500,1138.411432
60.577441,500,1141.089104
57.080358,500,1143.153436
65.156771,500,1145.710946
66.711515,500,1147.695835
56.038203,500,1150.314254
49.338887,500,1152.333728
64.619875,500,1154.900358
57.279431,500,1156.86179
44.638183,500,1159.594109
56.23877,500,1161.548466
65.060098,500,1164.076751
64.253029,500,1166.129668
43.587677,500,1168.674398
60.744876,500,1170.654406
57.304884,500,1173.274772
63.47096,500,1175.313099
60.43108,500,1177.958447
26.769456,500,1179.951469
43.066629,500,1182.584372
53.428616,500,1184.637663
65.291669,500,1187.207732
53.117763,500,1189.410037
34.489141,500,1192.054648
64.916086,500,1194.179293
57.230248,500,1196.813503
70.047986,500,1198.801393
65.301827,500,1201.453496
62.565583,500,1203.373012
54.041105,500,1206.006262
57.490241,500,1207.987025
65.811052,500,1210.59705
64.485753,500,1212.547508
74.48314,500,1214.608219
67.639917,500,1217.210842
60.66074,500,1219.197092
58.746907,500,1221.778044
57.397779,500,1223.84169
63.399133,500,1226.467359
60.764621,500,1228.525556
49.976018,500,1231.135561
44.748067,500,1233.137076
54.858335,500,1235.76403
68.782329,500,1237.79365
48.346768,500,1240.478272
77.174581,500,1242.457778
46.087592,500,1245.054944
52.855979,500,1247.027214
51.249658,500,1249.632044
65.241356,500,1251.564645
49.253891,500,1254.203259
61.291232,500,1256.253784
77.271183,500,1258.850449
48.760941,500,1260.833984
50.283123,500,1263.428552
47.877733,500,1265.515974
53.752258,500,1268.152708
51.479122,500,1270.281578
52.654237,500,1272.951666
52.487369,500,1274.972954
50.750883,500,1277.560826
61.760895,500,1279.488289
56.303442,500,1282.07378
57.549063,500,1284.021835
76.936684,500,1286.582175
62.211763,500,1288.637501
62.683998,500,1291.161846
81.233915,500,1293.140939
48.591272,500,1295.684587
51.248029,500,1297.762874
46.361848,500,1300.374467
68.74824,500,1302.355083
50.796282,500,1304.956415
66.066354,500,1306.914482
68.030072,500,1309.471231
63.238648,500,1311.389587
52.355953,500,1313.48285
64.055774,500,1316.051163
47.332897,500,1318.165385
78.750291,500,1320.831851
41.453043,500,1322.827675
72.887753,500,1325.468776
52.025147,500,1327.455187
66.813442,500,1329.936104
78.995994,500,1331.938243
69.074709,500,1334.580233
53.084767,500,1336.646837
71.23503,500,1339.265368
67.759705,500,1341.217597
65.215943,500,1343.88359
35.565267,500,1345.873121
60.445583,500,1348.474345
65.645218,500,1350.418452
57.541102,500,1353.541094
65.02015,500,1356.345588
67.337579,500,1359.707222
58.329992,500,1362.38148
71.015042,500,1365.788019
15.613434,500,1367.807234
56.249374,500,1370.37767
63.71935,500,1372.328147
47.464557,500,1374.969385
71.593441,500,1376.935127
59.937804,500,1379.534237
34.555541,500,1381.517105
76.234815,500,1384.120219
62.516975,500,1386.153067
57.543044,500,1388.709477
69.918515,500,1390.722816
71.453842,500,1393.430034
72.256577,500,1395.409765
70.261276,500,1397.999188
56.965558,500,1400.027867
53.909703,500,1402.680281
70.9839,500,1404.670813
69.203058,500,1407.292969
56.027909,500,1409.288384
77.673738,500,1411.766514
66.838437,500,1413.819599
62.260027,500,1415.816375
67.20418,500,1418.391908
55.684811,500,1420.339341
66.265076,500,1422.958091
70.718554,500,1425.071871
